abnormality,train_count,train_pct,val_count,val_pct,test_count,test_pct
Accumulation: foam cell,3,0.0023885350318471337,0,0.0,0,0.0
Alteration: cytoplasmic,0,0.0,0,0.0,2,0.0008760402978537013
Alteration: nuclear,23,0.018312101910828025,0,0.0,11,0.004818221638195357
Altered hepatocellular foci,0,0.0,2,0.0019801980198019802,0,0.0
Anisonucleosis,7,0.005573248407643312,4,0.0039603960396039604,31,0.01357862461673237
Atrophy,2,0.0015923566878980893,1,0.0009900990099009901,9,0.003942181340341655
Atypia: nuclear,0,0.0,0,0.0,8,0.003504161191414805
Cellular infiltration,42,0.03343949044585987,16,0.015841584158415842,193,0.08453788874288218
Cellular infiltration: mononuclear cell,0,0.0,0,0.0,36,0.01576872536136662
Cellular infiltration: neutrophil,1,0.0007961783439490446,0,0.0,0,0.0
Change: acidophilic,5,0.003980891719745223,35,0.034653465346534656,55,0.024091108190976786
Change: basophilic,0,0.0,3,0.0029702970297029703,50,0.021901007446342532
Change: eosinophilic,71,0.05652866242038217,104,0.10297029702970296,144,0.06307490144546649
DEAD,0,0.0,0,0.0,2,0.0008760402978537013
Degeneration,0,0.0,0,0.0,7,0.0030661410424879547
Degeneration: acidophilic: eosinophilic,16,0.012738853503184714,0,0.0,0,0.0
Degeneration: fatty,0,0.0,13,0.01287128712871287,68,0.029785370127025843
Degeneration: granular,1,0.0007961783439490446,0,0.0,0,0.0
Degeneration: granular: eosinophilic,137,0.10907643312101911,15,0.01485148514851485,26,0.011388523872098117
Degeneration: hydropic,0,0.0,0,0.0,56,0.024529128339903637
Degeneration: vacuolar,0,0.0,0,0.0,8,0.003504161191414805
Deposit: glycogen,14,0.011146496815286623,40,0.039603960396039604,12,0.005256241787122208
Deposit: hemosiderin,3,0.0023885350318471337,0,0.0,0,0.0
Deposit: pigment,11,0.00875796178343949,15,0.01485148514851485,5,0.002190100744634253
Dilatation,0,0.0,1,0.0009900990099009901,45,0.01971090670170828
Disarrangement,0,0.0,1,0.0009900990099009901,0,0.0
Edema,0,0.0,0,0.0,55,0.024091108190976786
Fibrosis,8,0.006369426751592357,0,0.0,45,0.01971090670170828
Granuloma,0,0.0,1,0.0009900990099009901,1,0.0004380201489268506
Ground glass appearance,63,0.05015923566878981,47,0.046534653465346534,84,0.03679369250985545
Hematopoiesis: extramedullary,9,0.007165605095541401,11,0.01089108910891089,15,0.006570302233902759
Hemorrhage,0,0.0,0,0.0,52,0.022777047744196234
Hyperplasia,0,0.0,0,0.0,4,0.0017520805957074025
Hypertrophy,296,0.2356687898089172,218,0.21584158415841584,456,0.19973718791064388
Inclusion body: intracytoplasmic,22,0.01751592356687898,0,0.0,38,0.016644765659220323
Increased mitosis,117,0.09315286624203821,106,0.10495049504950495,138,0.06044678055190539
Inflammation,2,0.0015923566878980893,1,0.0009900990099009901,1,0.0004380201489268506
Inflammation: suppurative,0,0.0,3,0.0029702970297029703,0,0.0
Lesion:NOS,17,0.013535031847133758,14,0.013861386138613862,11,0.004818221638195357
Microgranuloma,0,0.0,1,0.0009900990099009901,0,0.0
Mineralization,1,0.0007961783439490446,0,0.0,1,0.0004380201489268506
Necrosis,44,0.03503184713375796,96,0.09504950495049505,207,0.09067017082785808
Phagocytosis,0,0.0,10,0.009900990099009901,0,0.0
Proliferation: Kupffer cell,12,0.009554140127388535,0,0.0,10,0.004380201489268506
Proliferation: bile duct,43,0.03423566878980892,7,0.006930693069306931,37,0.016206745510293472
Proliferation: oval cell,37,0.02945859872611465,0,0.0,0,0.0
Pyknosis,0,0.0,0,0.0,29,0.012702584318878668
Scar,0,0.0,0,0.0,3,0.001314060446780552
Single cell necrosis,57,0.04538216560509554,83,0.08217821782178218,150,0.0657030223390276
Swelling,107,0.08519108280254777,60,0.0594059405940594,41,0.017958826106000875
Vacuolization: cytoplasmic,85,0.06767515923566879,101,0.1,132,0.05781865965834428
Vacuolization: nuclear,0,0.0,1,0.0009900990099009901,5,0.002190100744634253
