slide_id,subject_UID,subject_organ_UID,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,compound_name_clean,compound_folder_name,ORGAN,FILE_LOCATION,CAPTURE_NO,SPECIES,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,bad_UID,findings,abnormal,HasAbnormal
25516,0093_01_1,0093_01_1_L,93,1,1,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25516.svs,1/1,Rat,Repeat,Gavage,6,4 day,0,mg/kg,False,[],0,0
25519,0093_01_2,0093_01_2_L,93,1,2,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25519.svs,1/1,Rat,Repeat,Gavage,6,4 day,0,mg/kg,False,[],0,0
25521,0093_01_3,0093_01_3_L,93,1,3,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25521.svs,1/1,Rat,Repeat,Gavage,6,4 day,0,mg/kg,False,[],0,0
25523,0093_01_4,0093_01_4_L,93,1,4,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25523.svs,1/1,Rat,Repeat,Gavage,6,4 day,0,mg/kg,False,[],0,0
25526,0093_01_5,0093_01_5_L,93,1,5,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25526.svs,1/1,Rat,Repeat,Gavage,6,4 day,0,mg/kg,False,[],0,0
25528,0093_02_1,0093_02_1_L,93,2,1,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25528.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0
25531,0093_02_2,0093_02_2_L,93,2,2,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25531.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0
25533,0093_02_3,0093_02_3_L,93,2,3,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25533.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0
25535,0093_02_4,0093_02_4_L,93,2,4,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25535.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0
25538,0093_02_5,0093_02_5_L,93,2,5,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25538.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0
25540,0093_03_1,0093_03_1_L,93,3,1,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25540.svs,1/1,Rat,Repeat,Gavage,6,15 day,0,mg/kg,False,[],0,0
25543,0093_03_2,0093_03_2_L,93,3,2,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25543.svs,1/1,Rat,Repeat,Gavage,6,15 day,0,mg/kg,False,[],0,0
25545,0093_03_3,0093_03_3_L,93,3,3,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25545.svs,1/1,Rat,Repeat,Gavage,6,15 day,0,mg/kg,False,[],0,0
25548,0093_03_4,0093_03_4_L,93,3,4,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25548.svs,1/1,Rat,Repeat,Gavage,6,15 day,0,mg/kg,False,[],0,0
