COMPOUND_NAME,Non-Hypertrophy,Hypertrophy
2-nitrofluorene,1,0
TNF¿,1,0
acarbose,1,0
amphotericin B,1,0
benzbromarone,1,2
buthionine sulfoximine,1,0
butylated hydroxyanisole,1,1
chlormezanone,0,1
coumarin,0,2
cycloheximide,1,0
dexamethasone,1,0
disopyramide,1,0
disulfiram,1,2
erythromycin ethylsuccinate,0,1
ethanol,1,0
ethinylestradiol,0,1
fluoxetine hydrochloride,0,1
imipramine,0,1
iproniazid,1,1
methyltestosterone,1,1
phalloidin,1,0
phenobarbital,0,2
phenylanthranilic acid,1,0
puromycin aminonucleoside,0,1
quinidine,0,1
sulindac,1,1
theophylline,1,0
thioacetamide,1,1
triazolam,1,0
