slide_id,subject_UID,subject_organ_UID,EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,compound_name_clean,compound_folder_name,ORGAN,FILE_LOCATION,CAPTURE_NO,SPECIES,SINGLE_REPEAT_TYPE,ADMINISTRATION_ROUTE_TYPE,ANIMAL_AGE(week),SACRIFICE_PERIOD,DOSE,DOSE_UNIT,bad_UID,findings,abnormal,HasHypertrophy,Location,Severity
60049,0457_07_2,0457_07_2_L,457,7,2,buthionine sulfoximine,buthionine_sulfoximine,buthionine_sulfoximine,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/buthionine_sulfoximine/Liver/60049.svs,1/1,Rat,Single,intraperitoneal injection,6,9 hr,150,mg/kg,False,[],0,0,,
46647,0117_02_5,0117_02_5_L,117,2,5,thioacetamide,thioacetamide,thioacetamide,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/thioacetamide/Liver/46647.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0,,
41726,0511_06_1,0511_06_1_L,511,6,1,acarbose,acarbose,acarbose,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/acarbose/Liver/41726.svs,1/1,Rat,Repeat,Gavage,6,8 day,100,mg/kg,False,[],0,0,,
35217,0350_16_4,0350_16_4_L,350,16,4,quinidine,quinidine,quinidine,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/quinidine/Liver/35217.svs,1/1,Rat,Repeat,Gavage,6,29 day,200,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'slight', False]]",1,1,Centrilobular,slight
44595,0535_16_3,0535_16_3_L,535,16,3,meloxicam,meloxicam,meloxicam,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/meloxicam/Liver/44595.svs,1/1,Rat,Single,Gavage,6,24 hr,100,mg/kg,False,[],0,0,,
25646,0093_13_1,0093_13_1_L,93,13,1,phenobarbital,phenobarbital,phenobarbital,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phenobarbital/Liver/25646.svs,1/1,Rat,Repeat,Gavage,6,4 day,100,mg/kg,False,"[['Hypertrophy', 'Centrilobular', 'minimal', False], ['Increased mitosis', nan, 'minimal', False]]",1,1,Centrilobular,minimal
59010,0480_01_2,0480_01_2_L,480,1,2,phalloidin,phalloidin,phalloidin,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/phalloidin/Liver/59010.svs,1/1,Rat,Single,intraperitoneal injection,6,3 hr,0,mg/kg,False,[],0,0,,
46815,0117_14_4,0117_14_4_L,117,14,4,thioacetamide,thioacetamide,thioacetamide,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/thioacetamide/Liver/46815.svs,1/1,Rat,Repeat,Gavage,6,8 day,45,mg/kg,False,"[['Alteration: nuclear', nan, 'minimal', False], ['Cellular infiltration', nan, 'minimal', False], ['Degeneration: granular: eosinophilic', nan, 'moderate', False], ['Hypertrophy', 'Centrilobular', 'slight', False], ['Single cell necrosis', 'Hepatocyte', 'slight', False]]",1,1,Centrilobular,slight
31083,0242_10_4,0242_10_4_L,242,10,4,methyltestosterone,methyltestosterone,methyltestosterone,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/methyltestosterone/Liver/31083.svs,1/1,Rat,Repeat,Gavage,6,8 day,100,mg/kg,False,[],0,0,,
38404,0443_02_2,0443_02_2_L,443,2,2,sulindac,sulindac,sulindac,Liver,/data/RBS_PA_CPGARCHIVE/archives/toxicology/open-tg-gates/images/sulindac/Liver/38404.svs,1/1,Rat,Repeat,Gavage,6,8 day,0,mg/kg,False,[],0,0,,
